DOI	year	code
10.1145/2854946.2854963	2016	annotator;vivien
10.1145/2854946.2854963	2016	design;method;evaluation
10.1145/2854946.2854963	2016	task;iir;collaborative search
10.1145/2854946.2854966	2016	design;method;questionnaire
10.1145/2854946.2854966	2016	annotator;toine
10.1145/2854946.2854966	2016	design;type;experimental
10.1145/2854946.2854966	2016	design;method;user study
10.1145/2854946.2854966	2016	document;genre;personal information
10.1145/2854946.2854966	2016	design;method;cluster analysis
10.1145/2854946.2854966	2016	task;iir;personal information management
10.1145/2854946.2854971	2016	data;re-use
10.1145/2854946.2854971	2016	design;type;experimental
10.1145/2854946.2854971	2016	design;method;user study
10.1145/2854946.2854971	2016	annotator;mark
10.1145/2854946.2854971	2016	design;type;resource paper
10.1145/2854946.2854971	2016	research;IIR
10.1145/2854946.2854957	2016	design;method;controlled experiment
10.1145/2854946.2854957	2016	design;method;questionnaire
10.1145/2854946.2854957	2016	data;re-use
10.1145/2854946.2854957	2016	design;type;experimental
10.1145/2854946.2854957	2016	annotator;toine
10.1145/2854946.2854957	2016	design;method;log analysis
10.1145/2854946.2854957	2016	design;re-use
10.1145/2854946.2854957	2016	design;method;eye-tracking
10.1145/2854946.2854957	2016	infrastructure;share
10.1145/2854946.2854957	2016	design;share
10.1145/2854946.2854957	2016	document;genre;WWW
10.1145/2854946.2854957	2016	research;IIR
10.1145/2854946.2854957	2016	application;technology;search engines
10.1145/3498366.3505811	2022	design;method;controlled experiment
10.1145/3498366.3505811	2022	design;method;questionnaire
10.1145/3498366.3505811	2022	data;re-use
10.1145/3498366.3505811	2022	design;type;experimental
10.1145/3498366.3505811	2022	annotator;toine
10.1145/3498366.3505811	2022	document;topic;health
10.1145/3498366.3505811	2022	design;re-use
10.1145/3498366.3505811	2022	design;method;content analysis
10.1145/3498366.3505811	2022	design;share
10.1145/3498366.3505811	2022	document;genre;WWW
10.1145/3498366.3505811	2022	design;method;think-aloud
10.1145/3498366.3505834	2022	data;re-use
10.1145/3498366.3505834	2022	document;genre;news
10.1145/3498366.3505834	2022	infrastructure;share
10.1145/3498366.3505834	2022	annotator;mark
10.1145/3498366.3505834	2022	design;type;experimental
10.1145/3498366.3505834	2022	document;genre;Wikipedia
10.1145/3498366.3505781	2022	design;method;interview
10.1145/3498366.3505781	2022	design;method;questionnaire
10.1145/3498366.3505781	2022	design;type;experimental
10.1145/3498366.3505781	2022	annotator;mark
10.1145/3498366.3505781	2022	document;topic;health
10.1145/3498366.3505755	2022	design;method;controlled experiment
10.1145/3498366.3505755	2022	design;method;questionnaire
10.1145/3498366.3505755	2022	data;re-use
10.1145/3498366.3505755	2022	document;topic;crime
10.1145/3498366.3505755	2022	design;type;experimental
10.1145/3498366.3505755	2022	document;genre;music
10.1145/3498366.3505755	2022	annotator;mark
10.1145/3498366.3505755	2022	application;feature;data visualization
10.1145/3498366.3505825	2022	design;method;controlled experiment
10.1145/3498366.3505825	2022	design;method;questionnaire
10.1145/3498366.3505825	2022	data;re-use
10.1145/3498366.3505825	2022	design;type;experimental
10.1145/3498366.3505825	2022	annotator;toine
10.1145/3498366.3505825	2022	document;topic;health
10.1145/3498366.3505825	2022	design;re-use
10.1145/3498366.3505825	2022	design;method;eye-tracking
10.1145/3498366.3505766	2022	design;method;controlled experiment
10.1145/3498366.3505766	2022	design;method;questionnaire
10.1145/3498366.3505766	2022	data;re-use
10.1145/3498366.3505766	2022	design;type;experimental
10.1145/3498366.3505766	2022	annotator;toine
10.1145/3498366.3505766	2022	document;topic;health
10.1145/3498366.3505766	2022	design;re-use
10.1145/3406522.3446043	2021	design;method;controlled experiment
10.1145/3406522.3446043	2021	design;method;log analysis
10.1145/3406522.3446043	2021	data;share
10.1145/3406522.3446043	2021	design;type;experimental
10.1145/3406522.3446043	2021	design;share
10.1145/3406522.3446043	2021	annotator;vivien
10.1145/3406522.3446043	2021	task;work;e-commerce
10.1145/3406522.3446043	2021	design;type;resource paper
10.1145/3406522.3446020	2021	design;method;controlled experiment
10.1145/3406522.3446020	2021	design;method;questionnaire
10.1145/3406522.3446020	2021	design;type;experimental
10.1145/3406522.3446020	2021	design;method;user study
10.1145/3406522.3446020	2021	annotator;vivien
10.1145/3406522.3446020	2021	document;type;literature
10.1145/3343413.3377972	2020	design;method;interview
10.1145/3343413.3377972	2020	design;method;log analysis
10.1145/3343413.3377972	2020	task;work;education
10.1145/3343413.3377972	2020	design;type;experimental
10.1145/3343413.3377972	2020	annotator;vivien
10.1145/3343413.3377972	2020	design;type;theoretical
10.1145/3343413.3377972	2020	design;method;observation
10.1145/3343413.3377972	2020	user;issue;disabilities
10.1145/3343413.3377972	2020	user;group;disabilities
10.1145/3343413.3377972	2020	document;type;videos
10.1145/3343413.3377989	2020	design;method;controlled experiment
10.1145/3343413.3377989	2020	design;method;questionnaire
10.1145/3343413.3377989	2020	design;type;experimental
10.1145/3343413.3377989	2020	annotator;maria
10.1145/3343413.3377989	2020	document;topic;history
10.1145/3343413.3377989	2020	task;work;history
10.1145/3343413.3377989	2020	application;technology;digital libraries
10.1145/3498366.3505836	2022	design;method;controlled experiment
10.1145/3498366.3505836	2022	design;method;log analysis
10.1145/3498366.3505836	2022	design;type;experimental
10.1145/3498366.3505836	2022	annotator;vivien
10.1145/3498366.3505836	2022	task;context;archives/museums
10.1145/3498366.3505833	2022	design;method;questionnaire
10.1145/3498366.3505833	2022	data;re-use
10.1145/3498366.3505833	2022	annotator;toine
10.1145/3498366.3505833	2022	data;share
10.1145/3498366.3505833	2022	design;type;experimental
10.1145/3498366.3505833	2022	document;type;books
10.1145/3498366.3505835	2022	design;method;controlled experiment
10.1145/3498366.3505835	2022	design;method;questionnaire
10.1145/3498366.3505835	2022	design;method;log analysis
10.1145/3498366.3505835	2022	design;method;eye-tracking
10.1145/3498366.3505835	2022	design;type;experimental
10.1145/3498366.3505835	2022	task;work;education
10.1145/3498366.3505835	2022	annotator;vivien
10.1145/3498366.3505835	2022	task;work;search-as-learning
10.1145/3498366.3505835	2022	design;type;resource paper
10.1145/3498366.3505837	2022	design;method;questionnaire
10.1145/3498366.3505837	2022	design;method;user study
10.1145/3498366.3505837	2022	annotator;vivien
10.1145/3498366.3505837	2022	document;genre;domain-agnostic
10.1145/3498366.3505837	2022	application;technology;life-logging
10.1145/3498366.3505837	2022	design;type;resource paper
10.1145/3498366.3505791	2022	annotator;toine
10.1145/3498366.3505791	2022	design;method;log analysis
10.1145/3498366.3505791	2022	design;re-use
10.1145/3498366.3505791	2022	document;genre;music
10.1145/3498366.3505791	2022	data;share
10.1145/3498366.3505791	2022	infrastructure;re-use
10.1145/3498366.3505791	2022	infrastructure;share
10.1145/3498366.3505791	2022	design;type;resource paper
10.1145/3498366.3505829	2022	design;method;interview
10.1145/3498366.3505829	2022	design;method;diary study
10.1145/3498366.3505829	2022	design;type;experimental
10.1145/3498366.3505829	2022	annotator;vivien
10.1145/3498366.3505829	2022	task;iir;cross-session search
10.1145/3498366.3505829	2022	document;genre;domain-agnostic
10.1145/3498366.3505783	2022	design;method;controlled experiment
10.1145/3498366.3505783	2022	design;method;interview
10.1145/3498366.3505783	2022	design;type;experimental
10.1145/3498366.3505783	2022	task;work;creativity
10.1145/3498366.3505783	2022	user;issue;creativity
