zotero_ID	DOI	authors	title	year	type	pages	codes	keywords	abstract
NYSPRSWL	10.1145/3020165.3020181	Le, Long T.; Shah, Chirag; Choi, Erik	Bad Users or Bad Content? Breaking the Vicious Cycle by Finding Struggling Students in Community Question-Answering	2017	long	165–174	completed; maria; design;method;content analysis;forum posts; design;type;predictive; domain;question answering; design;method;categorization; data;Brainly.com	education; community question-answering (cqa); features; struggling user	Community Question Answering (CQA) services have become popular methods to seek and share information. In CQA, users with an information need, or askers, post a question that community members can answer. This question-answering process allows both askers and answerers to learn through the exchange of information. CQA services have also been widely used in the education domain, as some of such services are designed specifically for students' information seeking. However, due to insufficient knowledge, lack of experience, and other reasons, students often struggle in producing quality or even appropriate content. This low quality production causes their content to be flagged or deleted, further discouraging them from participating in the CQA process and instigating a vicious cycle of bad users and bad content. In an effort to break this cycle, the work reported here focuses on identifying users whose postings demonstrate a high deletion rate with a presumption that the bad content is an indication of a struggling student rather than a malicious user. In this work, experiments are conducted on a large student-oriented online CQA community to understand struggling students' behaviors. A framework is proposed to find these users based solely on their activities. Finally, community feedback (i.e. human judgment) such as moderator evaluation or community votes for good content is used to detect these users in the early stages of their respective struggles. To evaluate this framework, we used data from Brainly, a large educational CQA service that is used in two different markets with more than 3.7 million users and 10.7 million answers. The results show that the human judgment feature identifies early-stage struggling users with high accuracy. Identifying these struggling users (students) could help educators to determine suitable ways to help their students instead of presuming them to be bad users and cutting them off from the community.
LVUH5B73	10.1145/3020165.3020177	Badache, Ismail; Boughanem, Mohand	Fresh and Diverse Social Signals: Any Impacts on Search?	2017	long	155–164	completed; maria; design;method;evaluation; design;type;predictive; domain;social media; design;method;modelling; data;re-use;SBS (Social Book Search); IMDb (Internet Movie Database); domain;diversity	social networks; freshness; signals diversity; social signals	In this paper, we extensively study the impact of social signals (users' actions) obtained from several social networks on search ranking task. Social signals associated with web resources (documents) can be considered as an additional information that can play a vital role to estimate a priori importance of these resources. Particularly, we are interested in the freshness of signals and their diversity. We hypothesize that the moment (the date) when the user actions occur and the diversity of actions may impact the search performance. We propose to model these heterogeneous social features as document prior. We evaluate the effectiveness of our approach by carrying out extensive experiments on two different INEX datasets, namely SBS and IMDb, enriched with several social signals collected from social networks. Our experimental results consistently demonstrate the interest of integrating fresh and diverse signals in the retrieval process.
6935GU8V	10.1145/3020165.3020169	Wilson, Max L.	The Tetris Model of Resolving Information Needs within the Information Seeking Process	2017	long	147–154	completed; toine; design;type;theoretical; domain;IIR; domain;information seeking; infrastructure;software;Tetris	information need; information seeking process; model; theory	Theoretical abstractions, of many different aspects of search, have played a crucial role in driving research into human information seeking and retrieval forward. From models of the Information Seeking Process, to how we perceive search systems, these models help us to 1) conceptually formalise and separate aspects of the model's focus, 2) communicate more clearly about these aspects, 3) create hypotheses for subsequent research, and 4) produce implications for future systems. Implicit in these four aspects is that models and theories should have a focus and a purpose. After clarifying the relationships between models, theories, and meta-theories, this perspectives paper introduces the Tetris Model of Resolving Information Needs within the Information Seeking Process, the purpose of which is to better represent the behaviours around the Human Computer Interaction with Information Retrieval, which are often confounded within stage-based models of the Information Seeking Process. In particular, the possible sequence of actions performed by a searcher are typically linearly aligned from left-to-right, and thus imply a temporal progression. The differing focus of the Tetris model is to better capture the temporal experience of searching, by removing the implied progression of left-to-right. The aim of this perspectives paper, therefore, is to introduce this new Tetris Model, such that it can be used to formalise people's interactive experiences in a new way, so that we can more clearly communicate about them, create hypotheses from the model, and consider novel design implications based upon it.
F3GAVP8A	10.1145/3020165.3020176	Jiang, Jiepu; He, Daqing; Kelly, Diane; Allan, James	Understanding Ephemeral State of Relevance	2017	long	137–146	design;method;controlled experiment; completed; design;method;questionnaire; design;type;explanatory; design;method;log analysis; design;type;descriptive; design;method;user study; domain;WWW; Vivien; domain;domain-agnostic; design;task; design;participants;28; design;re-use;task from TREC session track	relevance judgment; usefulness; user experience; web search	Despite its dynamic nature, relevance is often measured in a context-independent manner in information retrieval practice. We look into this discrepancy. We propose a contextual relevance/usefulness measurement called ephemeral state of relevance (ESR), which is defined as the amount of useful information a user acquired from a clicked result as assessed just after examining the result during an interactive search session. We collect ESR and context-independent usefulness judgments through a laboratory user study and compare the two. We examine factors related to both judgments and examine their differences. Our study demonstrates a few advantages of ESR: it captures users' real-time state of mind and perceptions; it measures how much useful information the user is able to acquire from a result rather than how much there is in the result; it better reflects users' needs and criteria of useful results during a session, highlighting novelty as a salient factor. However, we also find that users may not be able to correctly assess the credibility of information during a session, which may reduce the reliability of the collected ESR judgments. We evaluate ESR, context-independent usefulness judgments, and TREC-style topical relevance judgments by correlating with user experience in a session. The results demonstrate that switching the judgment criterion from topical relevance to usefulness is fruitful, but moving from context-independent judgments to contextual ones has only limited advantages with respect to its cost and complexity. Our study enriches current understanding on the dynamics of relevance in a search session and identifies both opportunities and challenges for collecting contextual relevance judgments.
YMIRKSAP	10.1145/3020165.3020184	Luo, Cheng; Li, Xue; Liu, Yiqun; Sakai, Tetsuya; Zhang, Fan; Zhang, Min; Ma, Shaoping	Investigating Users' Time Perception during Web Search	2017	long	127–136	design;participants;number; completed; design;method;questionnaire; design;type;explanatory; maria; design;participants;background; design;task; design;method;controlled experiment;lab; domain;IIR; domain;search engines; design;re-use;TREC Session Track; infrastructure;prototype	interactive information retrieval; search evaluation; time perception	Due to the tremendous economic value of search result pages, search engine companies have invested a lot to improve their quality. Recently, much effort has been made to directly model key aspects of users' interactions with search system, for example, Benefit and Cost. Time has been widely adopted in both of the two aspects since benefit and cost must be expressed in meaningful units in practical application. Psychological studies have demonstrated that the subjectively perceived time might be different from the objective time measured by timing device and the time perception process of human beings is affected by some psychological factors, such as motivation and interest, which are closely related to the search process. Considering that time is usually used to describe the subject experience of search users, it is necessary to investigate the difference between perceived time and objective time in search process. In psychology, there is a temporal illusion effect named Vierordt's law, i.e. shorter intervals tend to be overestimated while longer intervals tend to be underestimated. In this work, we carefully designed a lab-study to examine the impact of duration length on user's time perception in the context of search. Experimental results show that Vierordt's law is consistently observed in Web search environment. This work could help us to correct the estimation of users' perceived time and provide insights about the mechanism of satisfaction.
TTYP2S6Z	10.1145/3020165.3020183	Radlinski, Filip; Craswell, Nick	A Theoretical Framework for Conversational Search	2017	long	117–126	completed; toine; domain;WWW; design;type;theoretical; domain;tourism; domain;conversational agents; domain;e-commerce; domain;personal information	chatbot; conversational search; personal agent	This paper studies conversational approaches to information retrieval, presenting a theory and model of information interaction in a chat setting. In particular, we consider the question of what properties would be desirable for a conversational information retrieval system so that the system can allow users to answer a variety of information needs in a natural and efficient manner. We study past work on human conversations, and propose a small set of properties that taken together could measure the extent to which a system is conversational. Following this, we present a theoretical model of a conversational system that implements the properties. We describe how this system could be implemented, making the action space of an conversational search agent explicit. Our analysis of this model shows that while theoretical, the model could be practically implemented to satisfy the desirable properties presented. In doing so, we show that the properties are also feasible.
KXVYIJTN	10.1145/3020165.3020182	Singh, Jaspreet; Zerr, Sergej; Siersdorfer, Stefan	Structure-Aware Visualization of Text Corpora	2017	long	107–116	design;method;controlled experiment; completed; design;method;questionnaire; design;type;descriptive; Vivien; design;type;resource paper; design;method;crawling; design;method;think-aloud; design;participants;25; data;re-use;previous study; domain;visualization; domain;text; design;participants;insight study;30	evenness index; flower; latent topics; lda; mutual information; text corpora; visualizing structured text; visualizing topics	Trying to comprehend the structure and content of large text corpora can be a daunting and often time consuming task. In this paper, we introduce a novel tool that exploits the structural properties for extracting and visualizing the underlying topics in a given dataset. To this end, we make use of a combination of latent topic analysis, discriminative feature selection applied on top of the category structure of corpora, and various ranking methods in order to extract the most representative topics for a given corpus. The visual moniker to depict the outcome of these methods can be chosen based on the context. Such visual representations can be useful for depicting trends, identifying ``hot'' topics, and discovering interesting patterns in the underlying data. As applications, we create example representations for a variety of corpora obtained from conference proceedings, movie summaries, and newsgroup postings. Our user experiments demonstrate the viability of our approach, with a flower-like visualization inspired by the ``wheel of emotion'', for generating high quality representative topics and for unearthing hidden structures and connections in large document corpora.
FJBS4Z87	10.1145/3020165.3020173	Kim, Jaewon; Thomas, Paul; Sankaranarayana, Ramesh; Gedeon, Tom; Yoon, Hwan-Jin	What Snippet Size is Needed in Mobile Web Search?	2017	long	97–106	design;method;controlled experiment; design;participants;number; completed; design;type;explanatory; maria; design;participants;background; domain;mobile search; domain;search engines; infrastructure;software	mobile web search; search engine result page; snippet length	A snippet (content summary for a web page) is one of the main elements in a search result page. Search engines have been improved to reduce users' effort in web search, e.g., providing flexible snippet sizes by considering the purpose of the search and suggesting predicted answers. In most cases, search engines for mobile devices present two or three lines of snippet for each result link. Some studies suggest that long snippets provide a better search experience on desktop screens, but this may not be true for mobile devices because of the smaller screen. We conducted a user study to investigate what size of snippet is appropriate for mobile devices. Our findings suggest that users with long snippets on mobile devices exhibit longer search times with no better search accuracy for informational tasks. This is caused by the longer reading time, frequent scrolling with bigger viewport movements, and greater time consumption for searching and reading one result. The overall findings suggest that, unlike desktop users, mobile users are best served by snippets of two to three lines.
BJ9M2LMY	10.1145/3020165.3020180	Kotzyba, Michael; Gossen, Tatiana; Schwerdt, Johannes; Nürnberger, Andreas	Exploration or Fact-Finding: Inferring User's Search Activity Just in Time	2017	long	87–96	completed; design;type;descriptive; design;method;user study; domain;WWW; Vivien; domain;domain-agnostic; design;task; design;participants;19; design;share;task in paper; design;type;predictive; design;method;categorization; design;re-use;task from previous studies; infrastructure;Google	user study; exploratory search; fact-finding search; modeling; multitasking search; recognition	Being able to differentiate between search activities a user is currently engaged in is crucial for adaptive information retrieval systems in order to provide appropriate support to the user in time. In this paper, we conduct an investigation into modeling two kinds of search activities: exploratory activities and fact-finding activities during web search. Specifically, we consider the case where a user is conducting consecutive fact-finding searches on multiple topics. This information behavior is also known as multitasking search. The goal of our research is to build models of users' web information-seeking behavior in order to differentiate between search activities caused by exploratory search tasks and consecutive fact-finding search tasks while users are still searching. In order to build search process models, we have designed and conducted a user study where the participants interact with a common web search engine. Based on the gathered log data, we built search models based on (Hidden) Markov Models and analyze the results. Our results yield to classification rates between 73.6% and 92.1% using different Markov Models and different data configurations. Furthermore, even with interaction sequences of a limited length, the models reach a classification rate of 85.6% within the first four interactions and about 89% with 30 and more interactions. Using a reduced data set the models still reach an accuracy of 87.7%. That is, within a single session the trained models can be used to detect the search activity to provide appropriate user support.
YLR5KR3M	10.1145/3020165.3020188	He, Jiyin; Yilmaz, Emine	User Behaviour and Task Characteristics: A Field Study of Daily Information Behaviour	2017	long	67–76	design;participants;number; completed; design;method;questionnaire; design;method;log analysis; design;type;exploratory; design;method;user study; maria; design;participants;background; domain;; domain;search; design;method;annotation; infrastructure;annotation tool	field study; search log analysis; task-based search	Previous studies investigating task based search often take the form of lab studies or large scale log analysis. In lab studies, users typically perform a designed task under a controlled environment, which may not reflect their natural behaviour. While log analysis allows the observation of users' natural search behaviour, often strong assumptions need to be made in order to associate the unobserved underlying user tasks with log signals. We describe a field study during which we log participants' daily search and browsing activities for 5 days, and users are asked to self-annotate their search logs with the tasks they conducted as well as to describe the task characteristics according to a conceptual task classification scheme. This provides us with a more realistic and comprehensive view on how user tasks are associated with logged interactions than seen in previous log- or lab-based studies; and allows us to explore the complex interactions between task characteristics and their presence in naturalistic tasks which has not been studied previously. We find a higher number of queries, longer timespan, as well as more task switches than reported in previous log based studies; and 41% of our tasks are zero-query tasks implying that large amounts of user task activities remain unobserved when only focused on query logs. Further, tasks sharing similar descriptions can vary greatly in their characteristics, suggesting that when supporting users with their tasks, it is important to know not only the task they are engaged with but also the context of the user in the task.
PWXHT55Q	10.1145/3020165.3020174	Klouche, Khalil; Ruotsalo, Tuukka; Micallef, Luana; Andolina, Salvatore; Jacucci, Giulio	Visual Re-Ranking for Multi-Aspect Information Retrieval	2017	long	57–66	design;participants;number; completed; design;method;questionnaire; design;type;explanatory; maria; design;participants;background; design;method;evaluation; design;type;predictive; domain;search; domain;visualization; design;method;modelling; data;re-use;ACM Digital Library	information retrieval; information visualization; multi-aspect search; multi-dimensional ranking	We present visual re-ranking, an interactive visualization technique for multi-aspect information retrieval. In multi-aspect search, the information need of the user consists of more than one aspect or query simultaneously. While visualization and interactive search user interface techniques for improving user interpretation of search results have been proposed, the current research lacks understanding on how useful these are for the user: whether they lead to quantifiable benefits in perceiving the result space and allow faster, and more precise retrieval. Our technique visualizes relevance and document density on a two-dimensional map with respect to the query phrases. Pointing to a location on the map specifies a weight distribution of the relevance to each of the query phrases, according to which search results are re-ranked. User experiments compared our technique to a uni-dimensional search interface with typed query and ranked result list, in perception and retrieval tasks. Visual re-ranking yielded improved accuracy in perception, higher precision in retrieval and overall faster task execution. Our findings demonstrate the utility of visual re-ranking, and can help designing search user interfaces that support multi-aspect search.
SJGDWQXC	10.1145/3020165.3020179	McKay, Dana; Chang, Shanton; Smith, Wally	Manoeuvres in the Dark: Design Implications of the Physical Mechanics of Library Shelf Browsing	2017	long	47–56	completed; domain;libraries; design;method;content analysis; design;type;descriptive; Vivien; design;method;observation; design;participants;31	interface design; books; browsing; libraries; observation	Library shelf browsing is a much-loved but little-understood form of information seeking. Attempts have been made to replicate or replace it online, however they have not typically been based on a principled understanding of the goals and behaviours of readers. This paper addresses the behaviour of readers, presenting an empirical examination of the mechanics of library shelf browsing. We note some previously undescribed behaviours, such as placemarking, and some hitherto unknown details such as the large number of books browsers consider. We situate our findings in the literature, and use them to drive design recommendations.
ZZQRPQJV	10.1145/3020165.3020187	Buchanan, George R.; McKay, Dana	Something is Lost, Something is Found: Book Use at the Library Shelves	2017	long	37–46	completed; domain;libraries; design;type;descriptive; domain;books; maria; design;method;observation	user study; information interaction; libraries; information behaviour	This paper investigates the life of books on physical library shelves. Most existing data on the use of library books uses logs to quantify loans, or user interviews to obtain insights into their use. We deploy a new specialised technique, photographing library shelves systematically over a week-long period, and noting the changes to the positioning of individual books, and each shelf as a whole. Through this indirect observation, we demonstrate the use of shelved books within, rather than on leaving, the library. We reveal the first insight into within-library book use, and demonstrate that in-library use appears to be more common and over a longer period than previous research suggests.
DDCANF6T	10.1145/3020165.3020167	O'Brien, Heather; McCay-Peet, Lori	Asking ""Good"" Questions: Questionnaire Design and Analysis in Interactive Information Retrieval Research	2017	long	27–36	completed; Vivien; design;type;theoretical; design;method;literature review; domain;IIR; domain;methodology	evaluation; interactive information retrieval; measurement; psychometric scales; questionnaires; reliability; self-report measures; validity	Asking questions is a central element of Interactive Information Retrieval (IIR) studies, yet the challenges associated with asking ""good"" questions is are rarely discussed. This perspectives paper examines the development, evaluation, and application of questionnaires in IIR research. The authors draw upon prior literature and their own research to explore how to best construct and extract meaning from questionnaires. Since building IIR knowledge and theories requires the employment of valid, reliable, dimensional, and sensitive self-report measures, this paper's contribution is an overview of best practices for developing, administering, and analyzing questionaires.
U98VG4XC	10.1145/3020165.3020170	Papoutsaki, Alexandra; Laskey, James; Huang, Jeff	SearchGazer: Webcam Eye Tracking for Remote Studies of Web Search	2017	long	17–26	completed; design;method;questionnaire; toine; design;method;eye-tracking; design;type;descriptive; infrastructure;share; design;method;user study; domain;WWW; domain;domain-agnostic; design;method;crowdsourcing; design;type;resource paper; infrastructure;software;Amazon Mechanical Turk; domain;search engines; infrastructure;hardware;Tobii X-50	gaze prediction; online eye tracking; remote user studies; user interactions; web search behavior	We introduce SearchGazer, a web-based eye tracker for remote web search studies using common webcams already present in laptops and some desktop computers. SearchGazer is a pure JavaScript library that infers the gaze behavior of searchers in real time. The eye tracking model self-calibrates by watching searchers interact with the search pages and trains a mapping of eye features to gaze locations and search page elements on the screen. Contrary to typical eye tracking studies in information retrieval, this approach does not require the purchase of any additional specialized equipment, and can be done remotely in a user's natural environment, leading to cheaper and easier visual attention studies. While SearchGazer is not intended to be as accurate as specialized eye trackers, it is able to replicate many of the research findings of three seminal information retrieval papers: two that used eye tracking devices, and one that used the mouse cursor as a restricted focus viewer. Charts and heatmaps from those original papers are plotted side-by-side with SearchGazer results. While the main results are similar, there are some notable differences, which we hypothesize derive from improvements in the latest ranking technologies used by current versions of search engines and diligence by remote users. As part of this paper, we also release SearchGazer as a library that can be integrated into any search page.
V7W88YGV	10.1145/3020165.3020168	Hienert, Daniel	User Interests in German Social Science Literature Search: A Large Scale Log Analysis	2017	long	7–16	completed; design;method;log analysis; design;re-use; design;type;descriptive; maria; domain;social sciences; domain;digital libraries	digital library; log analysis; social sciences; user interests	The social sciences are a broad research field with a lot of sub- and related disciplines. Accordingly, user interests in a digital library for the social sciences are manifold. In this study we analyzed nine years log data of a social science digital library to get an overview of the fields, categories, topics and detailed information needs users are interested in. Based on the log data we have built interactive visualizations which give an overview and concurrently let us look at the detailed interests of users. The underlying log data and the created visualizations are then used to analyze user interests at different hierarchical levels and on a temporal view. The results show that there are topical interests of the users in specific fields and topics of the social sciences but at the same time there exists a diversity of different information needs. Based on these findings we analyze in detail the gap between the indexing language of the system used to annotate documents and the language users apply to articulate their information needs.
5YHISMIG	10.1145/2854946.2854997	Verma, Manisha; Yilmaz, Emine	Category Oriented Task Extraction	2016	short	333–336	log analysis; completed; data;re-use; mark; design;type;predictive; domain;search; domain;tasks	query log analysis; search tasks; task discovery	With increasing amounts of digital content, users can accomplish complex tasks online, thus making task extraction from query logs an active area of research. Recently, some approaches have proposed entity based extraction of tasks, where they either use entities as features or construct task dictionaries that contain multiple tasks. While text based features do not exploit entities directly, task dictionaries do not provide concise or distinct representation of tasks. We overcome these shortcomings by extracting category oriented tasks by exploiting properties of an existing, publicly available category hierarchy. We evaluate quality of these tasks with implicit, explicit and application based evaluation. Empirical evaluation shows that category based task extraction results in more accurate and useful tasks.
